"","No screening","0.9999 0 IgAEMA","0.9999 0 IgAEMA plus HLA","0.766 0.625 IgAEMA","0.766 0.625 IgAEMA plus HLA","0.409 0.922 IgAEMA","0.409 0.922 IgAEMA plus HLA","0.123 0.989 IgAEMA","0.123 0.989 IgAEMA plus HLA","0.002 0.9999 IgAEMA","0.002 0.9999 IgAEMA plus HLA","0.773 0.659 IgAEMA","0.773 0.659 IgAEMA plus HLA","0.584 0.889 IgAEMA","0.584 0.889 IgAEMA plus HLA","0.335 0.97 IgAEMA","0.335 0.97 IgAEMA plus HLA","0.1 0.996 IgAEMA","0.1 0.996 IgAEMA plus HLA"
"11",11810.1161158408,15093.0569125497,15514.2821901439,12649.8641979617,15068.4184414238,12625.2095082483,14937.4376591947,12932.6253800549,14961.2048012779,13443.4141159487,15003.6537969914,12655.7292877536,15057.6092609198,12727.8904260227,14968.4697497504,13067.9824514575,14978.5481961031,13747.7712916204,15024.5651308141
"12",13163.5304911749,15166.6458458359,15461.767502378,13953.840641382,15084.6927666132,13850.1249592505,14978.5935685056,13959.1382019003,15016.7537239748,14172.6473058717,15066.0640457713,13945.4776848552,15072.3165963705,13903.1648350538,15003.0154168689,14021.3022109221,15030.6153369415,14303.4528520385,15087.6844880299
"13",12512.5453090562,15075.9193300006,15384.7451017815,13330.6095913481,14983.9918239657,13258.711299598,14870.4965637635,13451.4808196642,14905.1940003215,13792.2004392113,14954.6372145538,13328.0563565079,14972.7320976164,13332.8612370946,14897.4532972937,13544.8765045722,14920.3276664941,13997.9640889617,14977.1839287964
"14",11402.7374079286,14998.3468277251,15367.5280779678,12256.3074429818,14965.894008944,12249.6597956155,14853.0845984014,12603.842864478,14882.2364855071,13186.5240211888,14923.9734425574,12265.3925208658,14955.5677686127,12363.856274877,14881.3439288972,12756.4730176724,14898.3900236747,13533.7041559953,14943.6935075307
"15",11514.9492131615,14998.9186394862,15393.1836910445,12365.7257452164,14949.4204206797,12354.0359957312,14831.0667440391,12694.2719804177,14863.507227617,13252.6652966006,14912.1563389442,12373.9322432207,14941.163702994,12464.957889963,14863.0959963891,12841.3745461185,14881.1984196799,13583.9484225892,14935.356707044
"16",12178.997518796,15117.319159622,15469.9594272755,13007.8845028112,15037.6789537351,12960.8391235726,14916.3950748881,13213.6193666146,14946.4155404864,13643.199686103,14994.2515069952,13009.7542314551,15027.9446614632,13049.9151229927,14946.5021860599,13328.9535348034,14963.0435788734,13900.4082147824,15017.0435800233
"17",11154.9056373992,15221.3840612374,15632.5773063593,12030.0842255816,15158.5780729818,12052.5697377618,15051.7991343775,12480.6368521891,15092.2718937886,13173.1563976003,15147.0588176605,12044.4199592375,15155.566529501,12185.2499858511,15088.4194919666,12660.2450330278,15111.9125319062,13583.9328796476,15173.0952628469
"18",13290.6733774397,15121.9076243493,15363.7323110149,14077.249847761,14975.2952702601,13961.017972571,14849.4151993975,14040.9677069291,14871.8313079023,14211.3327752028,14913.8271930617,14066.7683542033,14961.4558772488,14007.2537961191,14873.792803503,14093.0468049862,14885.5705305008,14317.0884394099,14933.7585043377
"19",12723.6364949415,15045.2650036261,15419.2286601783,13528.7180250483,14996.41280162,13443.9763362177,14874.57040807,13601.8112087964,14911.5556534503,13888.7690730056,14965.8220408967,13523.7867100833,14984.0175462074,13509.2410636279,14902.5292155365,13681.9729131233,14927.181773327,14062.5333513622,14990.557499855
"20",13510.6834830244,15286.6067613963,15571.4907874942,14289.218799026,15188.2847311725,14172.4624103395,15071.2987148678,14247.1539597823,15102.3811708775,14408.4049397361,15148.6331796682,14278.5090250207,15174.6134683518,14217.004765183,15095.4303842336,14296.7273426447,15116.0646637149,14508.3729247021,15169.5082980349
"21",10832.3415553283,15017.0320664603,15419.1050093254,11712.4416285271,14959.7007776445,11739.9390537344,14849.1700527744,12182.6879466626,14884.6605878692,12900.251290399,14934.6950692083,11727.6957597016,14955.0462027291,11876.2367946474,14884.2153005692,12368.1897301182,14903.7344602112,13327.1593088844,14958.7357269962
"22",12744.6417464383,15279.2190210839,15558.3934220616,13562.279313729,15177.46534021,13489.2325716946,15058.6794464227,13678.7094481412,15079.2813549667,14012.4773961903,15114.4476841832,13559.592980786,15164.7143458234,13562.918329956,15083.6001758487,13770.9974056359,15093.5793876861,14213.1679610891,14527.4660726406
"23",13231.4527983759,15140.6598452284,15347.3425170673,14019.9870415448,14976.4420430177,13909.8424175686,14866.9882287075,14003.7052666354,14900.4028256475,14194.1733098542,14949.3745072389,14010.533986968,14964.406910921,13959.3380253859,14890.8758293967,14060.50210757,14913.8135806228,14311.3143105228,14971.4848823011
"24",11944.6894420042,15166.615379033,15488.189557115,12793.0294076073,15084.3371259786,12759.9625366645,14970.2100800399,13052.9588534678,14999.9123140363,13544.7439545776,15043.6824587898,12797.5266669437,15074.0059961627,12859.3129333944,14998.2872936801,13183.5086131299,15015.7784214096,13839.0122528346,15064.2471457122
"25",12227.7989877067,15049.8096878568,15390.8511390918,13052.1026193435,14981.6613452367,12997.7476525116,14870.7742286819,13232.2802307849,14909.1118246331,13635.2315841743,14961.4213262163,13052.6177626629,14971.3727379861,13082.0751232581,14898.9579852716,13340.7609342881,14924.875006276,13877.2474898478,14985.1561767474
