,,Sensitivity,,Specificity
10265,1.524,0.82,-0.9464,0.28
10266,1.524,0.82,-0.9464,0.28
10267,1.524,0.82,-0.9464,0.28
10268,1.524,0.82,-0.9464,0.28
10269,2.383,0.92,2.36,0.91
10270,2.383,0.92,2.36,0.91
10271,3.61,0.97,5.472,1.00
10272,3.61,0.97,5.472,1.00
10273,3.61,0.97,5.472,1.00
10274,3.61,0.97,5.472,1.00
10275,3.61,0.97,5.472,1.00
10276,3.61,0.97,5.472,1.00
10277,4.088,0.98,3.265,0.96
10278,4.088,0.98,3.265,0.96
10279,4.088,0.98,3.265,0.96
10280,4.088,0.98,3.265,0.96
10281,3.666,0.98,0.1136,0.53
10282,3.666,0.98,0.1136,0.53
10283,3.666,0.98,0.1136,0.53
10284,4.184,0.98,10.1,1.00
10285,4.779,0.99,2.267,0.91
10286,4.779,0.99,2.267,0.91
10287,4.779,0.99,2.267,0.91
10288,4.779,0.99,2.267,0.91
10289,4.779,0.99,2.267,0.91
10290,4.779,0.99,2.267,0.91
10291,3.874,0.98,-7.305,0.00
10292,3.835,0.98,5.175,0.99
10293,3.835,0.98,5.175,0.99
10294,3.835,0.98,5.175,0.99
10295,3.835,0.98,5.175,0.99
10296,3.835,0.98,5.175,0.99
10297,3.835,0.98,5.175,0.99
10298,3.835,0.98,5.175,0.99
10299,3.722,0.98,5.709,1.00
10300,3.722,0.98,5.709,1.00
10301,4.014,0.98,23.53,1.00
10302,3.32,0.97,4.435,0.99
10303,3.32,0.97,4.435,0.99
10304,3.32,0.97,4.435,0.99
10305,3.75,0.98,4.539,0.99
10306,3.75,0.98,4.539,0.99
10307,3.75,0.98,4.539,0.99
10308,3.75,0.98,4.539,0.99
10309,3.75,0.98,4.539,0.99
10310,3.75,0.98,4.539,0.99
10311,3.705,0.98,-9.118,0.00
10312,5.035,0.99,-2.233,0.10
10313,5.035,0.99,-2.233,0.10
10314,0.003069,0.50,10.1,1.00
10315,0.003069,0.50,10.1,1.00
10316,0.003069,0.50,10.1,1.00
10317,0.003069,0.50,10.1,1.00
10318,0.003069,0.50,10.1,1.00
10319,0.003069,0.50,10.1,1.00
10320,0.003069,0.50,10.1,1.00
10321,4.284,0.99,4.253,0.99
10322,4.284,0.99,4.253,0.99
10323,4.284,0.99,4.253,0.99
10324,4.284,0.99,4.253,0.99
10325,4.284,0.99,4.253,0.99
10326,4.284,0.99,4.253,0.99
10327,4.284,0.99,4.253,0.99
10328,4.284,0.99,4.253,0.99
10329,4.284,0.99,4.253,0.99
10330,4.284,0.99,4.253,0.99
10331,3.55,0.97,8.468,1.00
10332,3.55,0.97,8.468,1.00
10333,3.55,0.97,8.468,1.00
10334,3.55,0.97,8.468,1.00
10335,3.55,0.97,8.468,1.00
10336,3.55,0.97,8.468,1.00
10337,3.55,0.97,8.468,1.00
10338,3.55,0.97,8.468,1.00
10339,3.55,0.97,8.468,1.00
10340,3.55,0.97,8.468,1.00
10341,2.558,0.93,-6.132,0.00
10342,2.558,0.93,-6.132,0.00
10343,3.379,0.97,7.526,1.00
10344,3.379,0.97,7.526,1.00
10345,3.379,0.97,7.526,1.00
10346,3.379,0.97,7.526,1.00
