,,Sensitivity,,Specificity
14530,2.797,0.94,7.955,1.00
14531,2.849,0.95,11.91,1.00
14532,2.849,0.95,11.91,1.00
14533,2.849,0.95,11.91,1.00
14534,2.849,0.95,11.91,1.00
14535,2.849,0.95,11.91,1.00
14536,2.849,0.95,11.91,1.00
14537,3.517,0.97,2.579,0.93
14538,3.073,0.96,2.466,0.92
14539,3.073,0.96,2.466,0.92
14540,3.073,0.96,2.466,0.92
14541,4.208,0.99,-4.023,0.02
14542,3.5,0.97,0.1972,0.55
14543,3.562,0.97,8.991,1.00
14544,3.562,0.97,8.991,1.00
14545,3.562,0.97,8.991,1.00
14546,3.562,0.97,8.991,1.00
14547,3.562,0.97,8.991,1.00
14548,3.562,0.97,8.991,1.00
14549,3.562,0.97,8.991,1.00
14550,3.562,0.97,8.991,1.00
14551,2.689,0.94,-3.42,0.03
14552,2.791,0.94,7.269,1.00
14553,2.791,0.94,7.269,1.00
14554,2.791,0.94,7.269,1.00
14555,2.791,0.94,7.269,1.00
14556,2.791,0.94,7.269,1.00
14557,2.791,0.94,7.269,1.00
14558,2.791,0.94,7.269,1.00
14559,2.791,0.94,7.269,1.00
14560,2.791,0.94,7.269,1.00
14561,3.994,0.98,3.233,0.96
14562,3.994,0.98,3.233,0.96
14563,3.994,0.98,3.233,0.96
14564,3.994,0.98,3.233,0.96
14565,3.994,0.98,3.233,0.96
14566,3.994,0.98,3.233,0.96
14567,3.994,0.98,3.233,0.96
14568,3.994,0.98,3.233,0.96
14569,3.994,0.98,3.233,0.96
14570,3.994,0.98,3.233,0.96
14571,3.275,0.96,-10.33,0.00
14572,3.275,0.96,-10.33,0.00
14573,3.275,0.96,-10.33,0.00
14574,1.819,0.86,-9.585,0.00
14575,1.819,0.86,-9.585,0.00
14576,3.325,0.97,5.4,1.00
14577,4.541,0.99,5.634,1.00
14578,4.541,0.99,5.634,1.00
14579,4.541,0.99,5.634,1.00
14580,4.541,0.99,5.634,1.00
14581,3.541,0.97,2.827,0.94
14582,3.541,0.97,2.827,0.94
14583,3.541,0.97,2.827,0.94
14584,3.541,0.97,2.827,0.94
14585,3.541,0.97,2.827,0.94
14586,3.541,0.97,2.827,0.94
14587,3.541,0.97,2.827,0.94
14588,3.541,0.97,2.827,0.94
14589,3.541,0.97,2.827,0.94
14590,3.541,0.97,2.827,0.94
14591,2.985,0.95,1.504,0.82
14592,3.562,0.97,10.86,1.00
14593,3.562,0.97,10.86,1.00
14594,3.562,0.97,10.86,1.00
14595,3.562,0.97,10.86,1.00
14596,3.562,0.97,10.86,1.00
14597,3.562,0.97,10.86,1.00
14598,3.463,0.97,2.473,0.92
14599,3.463,0.97,2.473,0.92
14600,3.463,0.97,2.473,0.92
14601,2.725,0.94,5.251,0.99
14602,2.725,0.94,5.251,0.99
14603,2.725,0.94,5.251,0.99
14604,2.725,0.94,5.251,0.99
14605,2.725,0.94,5.251,0.99
14606,2.725,0.94,5.251,0.99
14607,2.725,0.94,5.251,0.99
14608,2.725,0.94,5.251,0.99
14609,2.725,0.94,5.251,0.99
14610,2.725,0.94,5.251,0.99
14611,3.648,0.97,-20.8,0.00
14612,3.503,0.97,0.0451,0.51
14613,3.503,0.97,0.0451,0.51
14614,2.455,0.92,4.923,0.99
14615,2.455,0.92,4.923,0.99
14616,2.455,0.92,4.923,0.99
14617,2.455,0.92,4.923,0.99
14618,2.455,0.92,4.923,0.99
14619,2.455,0.92,4.923,0.99
14620,2.455,0.92,4.923,0.99
14621,4.383,0.99,-10.01,0.00
14622,3.385,0.97,3.824,0.98
14623,3.385,0.97,3.824,0.98
14624,3.385,0.97,3.824,0.98
14625,3.385,0.97,3.824,0.98
14626,3.385,0.97,3.824,0.98
14627,3.385,0.97,3.824,0.98
14628,3.385,0.97,3.824,0.98
14629,3.252,0.96,3.036,0.95
14630,3.252,0.96,3.036,0.95
14631,3.318,0.97,-17.81,0.00
14632,4.052,0.98,0.7608,0.68
14633,2.86,0.95,5.244,0.99
14634,2.86,0.95,5.244,0.99
14635,2.86,0.95,5.244,0.99
14636,2.86,0.95,5.244,0.99
14637,2.86,0.95,5.244,0.99
14638,2.86,0.95,5.244,0.99
14639,2.86,0.95,5.244,0.99
14640,2.86,0.95,5.244,0.99
14641,3.629,0.97,-9.334,0.00
14642,4.358,0.99,-1.664,0.16
14643,2.154,0.90,8.686,1.00
14644,3.27,0.96,4.282,0.99
14645,3.27,0.96,4.282,0.99
14646,3.27,0.96,4.282,0.99
14647,3.27,0.96,4.282,0.99
14648,3.27,0.96,4.282,0.99
14649,3.27,0.96,4.282,0.99
14650,3.27,0.96,4.282,0.99
14651,4.906,0.99,-0.7327,0.32
14652,4.906,0.99,-0.7327,0.32
14653,1.763,0.85,23.3,1.00
14654,2.716,0.94,7.643,1.00
14655,2.716,0.94,7.643,1.00
14656,2.716,0.94,7.643,1.00
14657,2.716,0.94,7.643,1.00
14658,3.698,0.98,5.838,1.00
14659,3.698,0.98,5.838,1.00
14660,3.698,0.98,5.838,1.00
14661,4.865,0.99,-0.7748,0.32
14662,3.455,0.97,-0.3189,0.42
14663,3.455,0.97,-0.3189,0.42
14664,3.455,0.97,-0.3189,0.42
14665,3.848,0.98,1.24,0.78
14666,3.848,0.98,1.24,0.78
14667,4.317,0.99,5.61,1.00
14668,4.317,0.99,5.61,1.00
14669,4.317,0.99,5.61,1.00
14670,4.317,0.99,5.61,1.00
14671,2.493,0.92,7.02,1.00
14672,2.493,0.92,7.02,1.00
14673,2.493,0.92,7.02,1.00
14674,2.493,0.92,7.02,1.00
14675,2.493,0.92,7.02,1.00
14676,2.493,0.92,7.02,1.00
14677,2.493,0.92,7.02,1.00
14678,2.644,0.93,3.143,0.96
14679,2.644,0.93,3.143,0.96
14680,2.644,0.93,3.143,0.96
14681,5.255,0.99,-18.59,0.00
14682,5.255,0.99,-18.59,0.00
14683,0.04733,0.51,-2.902,0.05
14684,1.858,0.87,23.11,1.00
14685,1.858,0.87,23.11,1.00
14686,1.858,0.87,23.11,1.00
14687,1.858,0.87,23.11,1.00
14688,1.858,0.87,23.11,1.00
14689,1.858,0.87,23.11,1.00
14690,1.754,0.85,5.845,1.00
14691,3.602,0.97,7.394,1.00
14692,2.89,0.95,7.651,1.00
14693,2.89,0.95,7.651,1.00
14694,2.89,0.95,7.651,1.00
14695,3.093,0.96,3.235,0.96
14696,3.093,0.96,3.235,0.96
14697,3.328,0.97,6.668,1.00
14698,3.328,0.97,6.668,1.00
14699,3.328,0.97,6.668,1.00
14700,3.328,0.97,6.668,1.00
14701,4.251,0.99,-24.47,0.00
14702,3.788,0.98,-0.9662,0.28
14703,3.788,0.98,-0.9662,0.28
14704,3.957,0.98,0.2633,0.57
14705,3.957,0.98,0.2633,0.57
14706,3.957,0.98,0.2633,0.57
14707,3.957,0.98,0.2633,0.57
14708,3.957,0.98,0.2633,0.57
14709,3.957,0.98,0.2633,0.57
14710,3.957,0.98,0.2633,0.57
14711,3.014,0.95,-10.65,0.00
14712,2.953,0.95,7.761,1.00
14713,2.953,0.95,7.761,1.00
14714,2.953,0.95,7.761,1.00
14715,2.953,0.95,7.761,1.00
14716,2.953,0.95,7.761,1.00
14717,2.953,0.95,7.761,1.00
14718,2.953,0.95,7.761,1.00
14719,2.953,0.95,7.761,1.00
14720,2.953,0.95,7.761,1.00
14721,2.822,0.94,-26.74,0.00
14722,2.911,0.95,-2.42,0.08
14723,3.381,0.97,1.804,0.86
14724,3.561,0.97,7.973,1.00
14725,3.561,0.97,7.973,1.00
14726,3.561,0.97,7.973,1.00
14727,3.561,0.97,7.973,1.00
14728,3.147,0.96,4.566,0.99
14729,3.147,0.96,4.566,0.99
14730,3.147,0.96,4.566,0.99
14731,3.168,0.96,-1.978,0.12
14732,2.715,0.94,15.55,1.00
14733,2.715,0.94,15.55,1.00
14734,2.715,0.94,15.55,1.00
14735,3.034,0.95,5.868,1.00
14736,3.034,0.95,5.868,1.00
14737,3.034,0.95,5.868,1.00
14738,3.034,0.95,5.868,1.00
14739,2.749,0.94,7.145,1.00
14740,3.452,0.97,7.328,1.00
14741,3.651,0.97,0.9781,0.73
14742,3.651,0.97,0.9781,0.73
14743,3.651,0.97,0.9781,0.73
14744,3.651,0.97,0.9781,0.73
14745,3.651,0.97,0.9781,0.73
14746,3.651,0.97,0.9781,0.73
14747,3.651,0.97,0.9781,0.73
14748,3.651,0.97,0.9781,0.73
14749,3.651,0.97,0.9781,0.73
14750,3.651,0.97,0.9781,0.73
14751,3,0.95,-12.67,0.00
14752,3,0.95,-12.67,0.00
14753,3.108,0.96,-1.567,0.17
14754,3.108,0.96,-1.567,0.17
14755,3.108,0.96,-1.567,0.17
14756,3.459,0.97,-0.464,0.39
14757,3.41,0.97,1.523,0.82
14758,3.41,0.97,1.523,0.82
14759,2.942,0.95,4.775,0.99
14760,2.942,0.95,4.775,0.99
14761,4.203,0.99,-1.575,0.17
14762,2.249,0.90,0.71,0.67
14763,3.186,0.96,17.08,1.00
14764,3.186,0.96,17.08,1.00
14765,3.186,0.96,17.08,1.00
14766,3.186,0.96,17.08,1.00
14767,3.186,0.96,17.08,1.00
14768,3.541,0.97,7.62,1.00
14769,3.541,0.97,7.62,1.00
14770,3.541,0.97,7.62,1.00
14771,3.294,0.96,-9.793,0.00
14772,3.55,0.97,-7.895,0.00
14773,3.579,0.97,-1.522,0.18
14774,3.579,0.97,-1.522,0.18
14775,4.459,0.99,17.81,1.00
14776,2.231,0.90,10.01,1.00
14777,2.076,0.89,6.7,1.00
14778,2.076,0.89,6.7,1.00
14779,2.076,0.89,6.7,1.00
14780,1.995,0.88,7.394,1.00
14781,2.951,0.95,3.789,0.98
14782,2.951,0.95,3.789,0.98
14783,2.951,0.95,3.789,0.98
14784,2.951,0.95,3.789,0.98
14785,2.951,0.95,3.789,0.98
14786,2.951,0.95,3.789,0.98
14787,2.951,0.95,3.789,0.98
14788,2.951,0.95,3.789,0.98
14789,2.951,0.95,3.789,0.98
14790,2.951,0.95,3.789,0.98
14791,3.5,0.97,-14.25,0.00
14792,4.099,0.98,6.015,1.00
14793,4.099,0.98,6.015,1.00
14794,4.099,0.98,6.015,1.00
14795,4.099,0.98,6.015,1.00
14796,2.377,0.92,3.317,0.97
14797,2.377,0.92,3.317,0.97
14798,2.377,0.92,3.317,0.97
14799,2.377,0.92,3.317,0.97
14800,2.377,0.92,3.317,0.97
14801,3.112,0.96,-5.19,0.01
14802,3.873,0.98,5.535,1.00
14803,3.873,0.98,5.535,1.00
14804,3.873,0.98,5.535,1.00
14805,3.873,0.98,5.535,1.00
14806,3.873,0.98,5.535,1.00
14807,3.873,0.98,5.535,1.00
14808,3.873,0.98,5.535,1.00
14809,3.873,0.98,5.535,1.00
14810,3.873,0.98,5.535,1.00
14811,3.832,0.98,-4.016,0.02
14812,2.63,0.93,3.35,0.97
14813,2.684,0.94,6.291,1.00
14814,2.684,0.94,6.291,1.00
14815,2.684,0.94,6.291,1.00
14816,2.684,0.94,6.291,1.00
14817,2.684,0.94,6.291,1.00
14818,2.684,0.94,6.291,1.00
14819,2.684,0.94,6.291,1.00
14820,2.684,0.94,6.291,1.00
14821,2.993,0.95,-11.15,0.00
14822,3.788,0.98,5.285,0.99
14823,3.788,0.98,5.285,0.99
14824,3.788,0.98,5.285,0.99
14825,3.153,0.96,7.865,1.00
14826,3.153,0.96,7.865,1.00
14827,3.153,0.96,7.865,1.00
14828,3.153,0.96,7.865,1.00
14829,3.477,0.97,7.363,1.00
14830,3.477,0.97,7.363,1.00
14831,4.242,0.99,0.2673,0.57
14832,3.083,0.96,5.348,1.00
14833,3.083,0.96,5.348,1.00
14834,3.083,0.96,5.348,1.00
14835,3.083,0.96,5.348,1.00
14836,3.083,0.96,5.348,1.00
14837,3.083,0.96,5.348,1.00
14838,3.083,0.96,5.348,1.00
14839,3.083,0.96,5.348,1.00
14840,3.083,0.96,5.348,1.00
14841,3.805,0.98,8.01,1.00
14842,3.805,0.98,8.01,1.00
14843,3.805,0.98,8.01,1.00
14844,3.322,0.97,4.01,0.98
14845,3.322,0.97,4.01,0.98
14846,3.322,0.97,4.01,0.98
14847,3.322,0.97,4.01,0.98
14848,3.322,0.97,4.01,0.98
14849,3.322,0.97,4.01,0.98
14850,3.322,0.97,4.01,0.98
14851,3.496,0.97,-3.643,0.03
14852,3.496,0.97,-3.643,0.03
14853,4.454,0.99,4.474,0.99
14854,4.454,0.99,4.474,0.99
14855,4.454,0.99,4.474,0.99
14856,4.454,0.99,4.474,0.99
14857,4.454,0.99,4.474,0.99
14858,4.454,0.99,4.474,0.99
14859,4.454,0.99,4.474,0.99
14860,4.454,0.99,4.474,0.99
14861,4.684,0.99,-13.28,0.00
14862,2.738,0.94,6.886,1.00
14863,2.738,0.94,6.886,1.00
14864,2.738,0.94,6.886,1.00
14865,2.738,0.94,6.886,1.00
14866,2.738,0.94,6.886,1.00
14867,2.738,0.94,6.886,1.00
14868,3.956,0.98,7.09,1.00
14869,3.956,0.98,7.09,1.00
14870,2.755,0.94,1.55,0.82
14871,3.278,0.96,-14.87,0.00
14872,3.655,0.97,-7.54,0.00
14873,3.655,0.97,-7.54,0.00
14874,3.547,0.97,-6.48,0.00
14875,3.095,0.96,9.46,1.00
14876,3.095,0.96,9.46,1.00
14877,3.095,0.96,9.46,1.00
14878,3.095,0.96,9.46,1.00
14879,3.095,0.96,9.46,1.00
14880,3.095,0.96,9.46,1.00
14881,3.847,0.98,0.3094,0.58
14882,4.379,0.99,11.41,1.00
14883,4.379,0.99,11.41,1.00
14884,4.379,0.99,11.41,1.00
14885,4.379,0.99,11.41,1.00
14886,4.379,0.99,11.41,1.00
14887,4.379,0.99,11.41,1.00
14888,4.379,0.99,11.41,1.00
14889,4.379,0.99,11.41,1.00
14890,4.379,0.99,11.41,1.00
14891,3.582,0.97,3.531,0.97
14892,3.582,0.97,3.531,0.97
14893,3.582,0.97,3.531,0.97
14894,3.582,0.97,3.531,0.97
14895,3.753,0.98,2.704,0.94
14896,2.583,0.93,3.055,0.95
14897,2.583,0.93,3.055,0.95
14898,2.583,0.93,3.055,0.95
14899,2.583,0.93,3.055,0.95
14900,2.583,0.93,3.055,0.95
14901,5.198,0.99,-5.027,0.01
14902,2.211,0.90,-3.351,0.03
14903,3.7,0.98,-0.08983,0.48
14904,2.494,0.92,2.251,0.90
14905,2.494,0.92,2.251,0.90
14906,2.494,0.92,2.251,0.90
14907,2.494,0.92,2.251,0.90
14908,2.494,0.92,2.251,0.90
14909,2.494,0.92,2.251,0.90
14910,2.494,0.92,2.251,0.90
14911,3.715,0.98,3.182,0.96
14912,3.715,0.98,3.182,0.96
14913,3.715,0.98,3.182,0.96
14914,3.715,0.98,3.182,0.96
14915,3.715,0.98,3.182,0.96
14916,3.715,0.98,3.182,0.96
14917,3.715,0.98,3.182,0.96
14918,3.715,0.98,3.182,0.96
14919,3.715,0.98,3.182,0.96
14920,3.715,0.98,3.182,0.96
14921,3.871,0.98,-9.133,0.00
14922,3.871,0.98,-9.133,0.00
14923,4.713,0.99,-1.323,0.21
14924,4.713,0.99,-1.323,0.21
14925,4.713,0.99,-1.323,0.21
14926,-1.822,0.14,27.61,1.00
14927,-1.822,0.14,27.61,1.00
14928,4.79,0.99,7.393,1.00
14929,4.79,0.99,7.393,1.00
14930,4.79,0.99,7.393,1.00
14931,3.512,0.97,18.57,1.00
14932,3.512,0.97,18.57,1.00
14933,3.512,0.97,18.57,1.00
14934,3.512,0.97,18.57,1.00
14935,3.512,0.97,18.57,1.00
14936,2.937,0.95,6.943,1.00
14937,2.937,0.95,6.943,1.00
14938,2.937,0.95,6.943,1.00
14939,2.937,0.95,6.943,1.00
14940,2.937,0.95,6.943,1.00
14941,4.145,0.98,5.004,0.99
14942,4.145,0.98,5.004,0.99
14943,4.145,0.98,5.004,0.99
14944,4.145,0.98,5.004,0.99
14945,4.145,0.98,5.004,0.99
14946,4.145,0.98,5.004,0.99
14947,4.145,0.98,5.004,0.99
14948,4.145,0.98,5.004,0.99
14949,4.145,0.98,5.004,0.99
14950,4.145,0.98,5.004,0.99
14951,4.153,0.98,-9.647,0.00
14952,4.153,0.98,-9.647,0.00
14953,4.153,0.98,-9.647,0.00
14954,4.153,0.98,-9.647,0.00
14955,4.153,0.98,-9.647,0.00
14956,1.566,0.83,3.507,0.97
14957,1.566,0.83,3.507,0.97
14958,1.566,0.83,3.507,0.97
14959,1.566,0.83,3.507,0.97
14960,1.566,0.83,3.507,0.97
14961,3.449,0.97,-12.79,0.00
14962,2.502,0.92,-4.799,0.01
14963,2.502,0.92,-4.799,0.01
14964,3.075,0.96,4.427,0.99
14965,3.075,0.96,4.427,0.99
14966,3.075,0.96,4.427,0.99
14967,3.075,0.96,4.427,0.99
14968,3.075,0.96,4.427,0.99
14969,3.075,0.96,4.427,0.99
14970,3.075,0.96,4.427,0.99
14971,3.172,0.96,20.38,1.00
14972,3.172,0.96,20.38,1.00
14973,2.958,0.95,1.523,0.82
14974,3.492,0.97,7.798,1.00
14975,3.492,0.97,7.798,1.00
14976,3.492,0.97,7.798,1.00
14977,3.99,0.98,3.828,0.98
14978,3.99,0.98,3.828,0.98
14979,3.99,0.98,3.828,0.98
14980,3.99,0.98,3.828,0.98
14981,3.947,0.98,6.898,1.00
14982,3.947,0.98,6.898,1.00
14983,3.947,0.98,6.898,1.00
14984,3.947,0.98,6.898,1.00
14985,3.947,0.98,6.898,1.00
14986,3.947,0.98,6.898,1.00
14987,3.947,0.98,6.898,1.00
14988,3.947,0.98,6.898,1.00
14989,3.947,0.98,6.898,1.00
14990,3.947,0.98,6.898,1.00
14991,4.04,0.98,-6.19,0.00
14992,3.7,0.98,4.137,0.98
14993,3.263,0.96,3.122,0.96
14994,2.591,0.93,5.377,1.00
14995,2.902,0.95,5.086,0.99
14996,2.902,0.95,5.086,0.99
14997,2.787,0.94,4.183,0.98
14998,2.787,0.94,4.183,0.98
14999,2.787,0.94,4.183,0.98
15000,2.787,0.94,4.183,0.98
15001,3.525,0.97,9.797,1.00
15002,3.421,0.97,3.557,0.97
15003,3.421,0.97,3.557,0.97
15004,3.421,0.97,3.557,0.97
15005,3.421,0.97,3.557,0.97
15006,3.421,0.97,3.557,0.97
15007,3.421,0.97,3.557,0.97
15008,3.421,0.97,3.557,0.97
15009,3.421,0.97,3.557,0.97
15010,3.421,0.97,3.557,0.97
15011,3.74,0.98,-3.663,0.03
15012,4.322,0.99,7.242,1.00
15013,4.322,0.99,7.242,1.00
15014,4.322,0.99,7.242,1.00
15015,2.67,0.94,5.861,1.00
15016,2.67,0.94,5.861,1.00
15017,2.67,0.94,5.861,1.00
15018,2.67,0.94,5.861,1.00
15019,2.67,0.94,5.861,1.00
15020,2.67,0.94,5.861,1.00
15021,4.335,0.99,-6.198,0.00
15022,4.335,0.99,-6.198,0.00
15023,4.335,0.99,-6.198,0.00
15024,1.162,0.76,4.817,0.99
15025,1.162,0.76,4.817,0.99
15026,1.162,0.76,4.817,0.99
15027,1.162,0.76,4.817,0.99
15028,1.162,0.76,4.817,0.99
15029,1.162,0.76,4.817,0.99
15030,1.162,0.76,4.817,0.99
15031,3.597,0.97,-31.95,0.00
15032,3.921,0.98,10.22,1.00
15033,3.921,0.98,10.22,1.00
15034,3.921,0.98,10.22,1.00
15035,3.921,0.98,10.22,1.00
15036,2.735,0.94,6.865,1.00
15037,2.735,0.94,6.865,1.00
15038,2.735,0.94,6.865,1.00
15039,3.409,0.97,4.648,0.99
15040,3.409,0.97,4.648,0.99
15041,3.832,0.98,-11.67,0.00
15042,4.035,0.98,8.447,1.00
15043,4.035,0.98,8.447,1.00
15044,4.035,0.98,8.447,1.00
15045,3.159,0.96,4.859,0.99
15046,3.159,0.96,4.859,0.99
15047,3.159,0.96,4.859,0.99
15048,3.159,0.96,4.859,0.99
15049,3.159,0.96,4.859,0.99
15050,3.159,0.96,4.859,0.99
15051,2.779,0.94,6.931,1.00
15052,2.779,0.94,6.931,1.00
15053,2.779,0.94,6.931,1.00
15054,2.779,0.94,6.931,1.00
15055,2.779,0.94,6.931,1.00
15056,2.727,0.94,4.258,0.99
15057,2.727,0.94,4.258,0.99
15058,2.727,0.94,4.258,0.99
15059,2.727,0.94,4.258,0.99
15060,2.727,0.94,4.258,0.99
15061,3.864,0.98,-0.3397,0.42
15062,3.864,0.98,-0.3397,0.42
15063,3.864,0.98,-0.3397,0.42
15064,3.864,0.98,-0.3397,0.42
15065,3.864,0.98,-0.3397,0.42
15066,3.409,0.97,11.93,1.00
15067,3.018,0.95,7.885,1.00
15068,3.018,0.95,7.885,1.00
15069,3.018,0.95,7.885,1.00
15070,3.018,0.95,7.885,1.00
15071,3.587,0.97,-14.11,0.00
15072,3.133,0.96,0.6305,0.65
15073,3.133,0.96,0.6305,0.65
15074,2.909,0.95,6.44,1.00
15075,2.909,0.95,6.44,1.00
15076,2.909,0.95,6.44,1.00
15077,2.909,0.95,6.44,1.00
15078,2.909,0.95,6.44,1.00
15079,2.909,0.95,6.44,1.00
15080,2.909,0.95,6.44,1.00
15081,4.96,0.99,24.74,1.00
15082,4.96,0.99,24.74,1.00
15083,4.96,0.99,24.74,1.00
15084,4.96,0.99,24.74,1.00
15085,3.2,0.96,6.11,1.00
15086,2.825,0.94,7.136,1.00
15087,2.825,0.94,7.136,1.00
15088,2.825,0.94,7.136,1.00
15089,2.825,0.94,7.136,1.00
15090,2.825,0.94,7.136,1.00
15091,3.393,0.97,-11.79,0.00
15092,3.393,0.97,-11.79,0.00
15093,3.456,0.97,-1.107,0.25
15094,3.22,0.96,0.4363,0.61
15095,3.22,0.96,0.4363,0.61
15096,3.22,0.96,0.4363,0.61
15097,3.22,0.96,0.4363,0.61
15098,3.22,0.96,0.4363,0.61
15099,3.22,0.96,0.4363,0.61
15100,3.205,0.96,13.25,1.00
15101,4.202,0.99,-11.03,0.00
15102,2.907,0.95,15.64,1.00
15103,3.191,0.96,5.105,0.99
15104,3.191,0.96,5.105,0.99
15105,3.191,0.96,5.105,0.99
15106,3.191,0.96,5.105,0.99
15107,3.191,0.96,5.105,0.99
15108,3.191,0.96,5.105,0.99
15109,3.191,0.96,5.105,0.99
15110,3.191,0.96,5.105,0.99
15111,4.085,0.98,-19.25,0.00
15112,3.574,0.97,-17.77,0.00
15113,4.82,0.99,-3.458,0.03
15114,0.9757,0.73,-1.804,0.14
15115,0.9757,0.73,-1.804,0.14
15116,0.9757,0.73,-1.804,0.14
15117,1.842,0.86,4.94,0.99
15118,1.842,0.86,4.94,0.99
15119,1.842,0.86,4.94,0.99
15120,1.842,0.86,4.94,0.99
15121,3.703,0.98,4.882,0.99
15122,3.703,0.98,4.882,0.99
15123,3.703,0.98,4.882,0.99
15124,3.703,0.98,4.882,0.99
15125,3.703,0.98,4.882,0.99
15126,3.703,0.98,4.882,0.99
15127,3.703,0.98,4.882,0.99
15128,3.703,0.98,4.882,0.99
15129,3.703,0.98,4.882,0.99
15130,3.703,0.98,4.882,0.99
15131,3.439,0.97,-4.586,0.01
15132,3.069,0.96,12.04,1.00
15133,3.069,0.96,12.04,1.00
15134,3.575,0.97,4.296,0.99
15135,3.575,0.97,4.296,0.99
15136,2.392,0.92,4.958,0.99
15137,2.392,0.92,4.958,0.99
15138,2.392,0.92,4.958,0.99
15139,2.392,0.92,4.958,0.99
15140,2.392,0.92,4.958,0.99
15141,5.23,0.99,7.669,1.00
15142,5.23,0.99,7.669,1.00
15143,5.23,0.99,7.669,1.00
15144,5.23,0.99,7.669,1.00
15145,5.23,0.99,7.669,1.00
15146,5.23,0.99,7.669,1.00
15147,5.23,0.99,7.669,1.00
15148,5.23,0.99,7.669,1.00
15149,5.23,0.99,7.669,1.00
15150,5.23,0.99,7.669,1.00
15151,4.937,0.99,0.5362,0.63
15152,4.937,0.99,0.5362,0.63
15153,4.937,0.99,0.5362,0.63
15154,4.937,0.99,0.5362,0.63
15155,4.937,0.99,0.5362,0.63
15156,4.937,0.99,0.5362,0.63
15157,4.937,0.99,0.5362,0.63
15158,4.937,0.99,0.5362,0.63
15159,4.937,0.99,0.5362,0.63
15160,4.937,0.99,0.5362,0.63
15161,3.105,0.96,-12.03,0.00
15162,3.309,0.96,10.92,1.00
15163,3.309,0.96,10.92,1.00
15164,3.309,0.96,10.92,1.00
15165,3.309,0.96,10.92,1.00
15166,3.309,0.96,10.92,1.00
15167,3.309,0.96,10.92,1.00
15168,3.309,0.96,10.92,1.00
15169,3.309,0.96,10.92,1.00
15170,3.309,0.96,10.92,1.00
15171,3.957,0.98,13.85,1.00
15172,3.286,0.96,8.948,1.00
15173,3.286,0.96,8.948,1.00
15174,3.286,0.96,8.948,1.00
15175,3.188,0.96,2.829,0.94
15176,3.188,0.96,2.829,0.94
15177,3.188,0.96,2.829,0.94
15178,3.188,0.96,2.829,0.94
15179,3.188,0.96,2.829,0.94
15180,3.188,0.96,2.829,0.94
15181,3.025,0.95,-1.404,0.20
15182,2.805,0.94,3.26,0.96
15183,2.805,0.94,3.26,0.96
15184,2.805,0.94,3.26,0.96
15185,2.805,0.94,3.26,0.96
15186,2.805,0.94,3.26,0.96
15187,2.805,0.94,3.26,0.96
15188,2.805,0.94,3.26,0.96
15189,2.805,0.94,3.26,0.96
15190,2.805,0.94,3.26,0.96
15191,2.661,0.93,-13.55,0.00
15192,3.736,0.98,3.042,0.95
15193,3.736,0.98,3.042,0.95
15194,3.736,0.98,3.042,0.95
15195,3.736,0.98,3.042,0.95
15196,3.736,0.98,3.042,0.95
15197,3.736,0.98,3.042,0.95
15198,3.736,0.98,3.042,0.95
15199,3.736,0.98,3.042,0.95
15200,3.736,0.98,3.042,0.95
15201,2.84,0.94,3.312,0.96
15202,2.84,0.94,3.312,0.96
15203,2.84,0.94,3.312,0.96
15204,2.84,0.94,3.312,0.96
15205,2.84,0.94,3.312,0.96
15206,2.84,0.94,3.312,0.96
15207,2.84,0.94,3.312,0.96
15208,2.84,0.94,3.312,0.96
15209,2.84,0.94,3.312,0.96
15210,2.84,0.94,3.312,0.96
15211,2.81,0.94,-4.547,0.01
15212,2.81,0.94,-4.547,0.01
15213,3.504,0.97,1.916,0.87
15214,4.475,0.99,2.26,0.91
15215,4.475,0.99,2.26,0.91
15216,4.475,0.99,2.26,0.91
15217,4.475,0.99,2.26,0.91
15218,4.475,0.99,2.26,0.91
15219,4.475,0.99,2.26,0.91
15220,4.475,0.99,2.26,0.91
15221,3.355,0.97,-5.006,0.01
15222,3.311,0.96,1.622,0.84
15223,3.311,0.96,1.622,0.84
15224,3.311,0.96,1.622,0.84
15225,3.311,0.96,1.622,0.84
15226,3.311,0.96,1.622,0.84
15227,3.311,0.96,1.622,0.84
15228,3.311,0.96,1.622,0.84
15229,1.994,0.88,1.572,0.83
15230,1.994,0.88,1.572,0.83
15231,3.705,0.98,-19.03,0.00
15232,3.267,0.96,-4.444,0.01
15233,4.209,0.99,-2.827,0.06
15234,4.209,0.99,-2.827,0.06
15235,3.433,0.97,0.6906,0.67
15236,3.433,0.97,0.6906,0.67
15237,3.433,0.97,0.6906,0.67
15238,4.25,0.99,1.33,0.79
15239,4.25,0.99,1.33,0.79
15240,4.25,0.99,1.33,0.79
15241,3.935,0.98,-10.03,0.00
15242,4.187,0.99,0.05709,0.51
15243,4.187,0.99,0.05709,0.51
15244,4.187,0.99,0.05709,0.51
15245,4.187,0.99,0.05709,0.51
15246,4.961,0.99,0.4791,0.62
15247,4.961,0.99,0.4791,0.62
15248,4.961,0.99,0.4791,0.62
15249,4.961,0.99,0.4791,0.62
15250,4.961,0.99,0.4791,0.62
15251,3.438,0.97,-2.466,0.08
15252,2.897,0.95,5.654,1.00
15253,2.897,0.95,5.654,1.00
15254,2.897,0.95,5.654,1.00
15255,2.897,0.95,5.654,1.00
15256,2.897,0.95,5.654,1.00
